No,Kalimat,Kata Ambigu,Actual Sense
154,Kedatangan tim basket internasional disambut dengan teriakan penonton yang berapi-api,api,"perasaan yang menggelora (tentang cinta, perjuangan); semangat"
155,"Sambil menatap api unggun yang membakar kayu bakar, kami bercerita tentang pengalaman-pengalaman kami selama perjalanan ke hutan belantara",api,panas dan cahaya yang berasal dari sesuatu yang terbakar; nyala
156,Keberuntungan menghujani setiap usaha yang dilakukan dengan sungguh-sungguh dan tekun,hujan,yang datang dan sebagainya banyak-banyak
157,Hujan lebat mengakibatkan banjir di beberapa wilayah kota tadi malam,hujan,titik-titik air yang berjatuhan dari udara karena proses pendinginan
158,Sebidang tanah seluas 2 hektar tersebut milik pemerintah daerah setempat,bidang,"kata penggolong bagi barang-barang yang luas seperti tanah, sawah, ladang"
159,Perusahaan kami sedang mencari tenaga kerja baru di bidang pemasaran,bidang,segi pandangan; aspek
160,"Astronomi adalah ilmu yang mempelajari tentang bintang, planet, dan galaksi di angkasa",bintang,"benda langit yang mampu memancarkan cahaya dan memproduksi energi sendiri, misalnya matahari"
161,"Untuk menghemat ruang, saya seringkali melipat pakaian yang tidak lagi digunakan",lipat,"patah dua sehingga bidangnya menjadi seperdua (tentang kertas, kain, dan sebagainya) | tekuk atau rebahkan sehingga satu bagian menutupi bagian lainnya"
162,Pada era gempuran media sosial seperti saat ini fenomena ketidakamanan insecurity telah merambah pada hampir seluruh kalangan usia termasuk remaja,fenomena,sesuatu yang luar biasa; keajaiban
163,Oleh karena itu topik tentang ketidakamanan ini menjadi menarik untuk ditelusuri akar penyebabnya,topik,hal yang menarik perhatian umum pada waktu akhir-akhir ini; bahan pembicaraan
164,Ketidakamanan yang berkepanjangan akan berakibat fatal dan mengarah pada terganggunya keadaan mental seseorang,arah,tujuan; maksud
165,Seseorang yang mengalami perasaan tidak aman juga akan sangat terganggu dalam konteks produktivitas,rasa,tanggapan hati terhadap sesuatu (indra)
166,Hal tersebut disebabkan fokus seseorang bukan lagi tentang menemukan nilai diri sendiri tetapi cenderung memikirkan standar orang lain,temu,sua; jumpa
167,Salah satu penyebab seseorang merasa tidak aman adalah ketidakmampuan seseorang dalam mencintai diri sendiri self love,sebab,hal yang menjadikan timbulnya sesuatu; lantaran; karena; (asal) mula
168,Ketika seseorang tidak mampu menerima dirinya sendiri ia akan mudah tergerus oleh standar orang lain yang sebenarnya tidak perlu diterapkan pada diri sendiri,mudah,"lekas sekali (menjadi, menderita, dan sebagainya)"
169,Dalam hal ini konsep tentang self love perlu dikenalkan dan dibiasakan sejak anak usia dini sebagai bekal pada masa mendatang,konsep,ide atau pengertian yang diabstrakkan dari peristiwa konkret
170,Anak yang sejak kecil telah mengenal cinta diri sendiri akan tumbuh menjadi anak yang percaya diri mampu mengerti kebutuhan diri dan memiliki kecerdasan dalam berhubungan sosial,butuh,perlu
171,Setidaknya anak akan memiliki tameng sejak dini untuk menangkal segala pengaruh buruk yang dapat menyebabkan ketidakamanan dini pada anak melalui pengenalan cinta diri sendiri,milik,kepunyaan; hak
172,Anak yang mencintai diri dan memiliki persepsi yang baik terhadap dirinya sendiri juga akan dapat mengatasi konflik dengan tenang dan tidak mudah terpengaruh standar orang lain,mudah,"lekas sekali (menjadi, menderita, dan sebagainya)"
173,Hal tersebut disebabkan anak sudah mengenali siapa dirinya apa nilai dan karakteristik dirinya,sebab,oleh karena; terjadi karena; sebagai akibat
174,Selain itu anak juga telah memahami bahwa setiap orang memiliki keunikan yang berbeda sehingga anak akan memandang kekurangan diri adalah hal yang wajar serta kelebihan sebagai hal yang patut dimaksimalkan,beda,sesuatu yang menjadikan berlainan (tidak sama) antara benda yang satu dan benda yang lain; ketidaksamaan
175,Hal penting lainnya terkait pengenalan konsep cinta diri sendiri pada anak adalah mencegah terjadinya gangguan kondisi mental dan emosional pada anak usia dini yang seringkali tidak terdeteksi,mental,"bersangkutan dengan batin dan watak manusia, yang bukan bersifat badan atau tenaga"
176,Salah satu faktor yang memyebabkan gangguan mental dan emosional pada anak adalah lingkungan buruk yang selalu menekankan standar standarnya,mental,"bersangkutan dengan batin dan watak manusia, yang bukan bersifat badan atau tenaga"
177,Selain itu terdapat pula faktor psikogenik berupa hubungan anak dengan teman sebaya dan lingkungan masyarakat yang tidak sehat yang menyebabkan mental dan emosional anak terganggu,faktor,"hal (keadaan, peristiwa) yang ikut menyebabkan (memengaruhi) terjadinya sesuatu"
178,Berdasarkan hal tersebut cinta diri sendiri menjadi amat penting bagi anak usia dini untuk membantu mencegah adanya ancaman tersebut,dasar,"pokok atau pangkal suatu pendapat (ajaran, aturan); asas"
179,Seperti yang telah umum diketahui anak merupakan penyerap segala hal di sekitarnya yang berarti kemampuan otak anak sangat luar biasa dalam menyerap informasi,otak,alat berpikir; pikiran; benak
180,Masa perkembangan anak usia dini akan memengaruhi kepribadian anak ketika ia dewasa,pengaruh,"daya yang ada atau timbul dari sesuatu (orang, benda) yang ikut membentuk watak, kepercayaan, atau perbuatan seseorang"
181,Dalam hal ini buku cerita dapat dijadikan sebagai media dalam mengenalkan cinta diri sendiri pada masa perkembangan anak dan membantu pembentukan kepribadian anak,buku,"lembar kertas yang berjilid, berisi tulisan atau kosong; kitab"
182,Anak usia dini dekat dengan cerita fiksi yang penuh imajinasi seperti yang ada dalam buku cerita karena hal tersebut mampu meningkatkan minat dan ketertarikan anak tentang suatu hal,fiksi,"cerita rekaan (roman, novel, dan sebagainya)"
183,Oleh sebab itu buku cerita sangat berguna dalam upaya pengenalan karakteristik kepribadian termasuk cinta diri sendiri pada anak,cerita,"karangan yang menuturkan perbuatan, pengalaman, atau penderitaan orang; kejadian dan sebagainya (baik yang sungguh-sungguh terjadi maupun yang hanya rekaan belaka)"
184,Melalui buku cerita aspek aspek perkembangan anak juga dapat terlatih mulai dari aspek agama moral fisik motorik kognitif bahasa sosial emosional hingga seni,aspek,"pemunculan atau penginterpretasian gagasan, masalah, situasi, dan sebagainya sebagai pertimbangan yang dilihat dari sudut pandang tertentu"
185,Isi cerita yang menceritakan tentang cinta diri sendiri akan memberikan stimulus berupa gambaran tentang cinta diri sendiri tersebut kepada anak,cerita,"karangan yang menuturkan perbuatan, pengalaman, atau penderitaan orang; kejadian dan sebagainya (baik yang sungguh-sungguh terjadi maupun yang hanya rekaan belaka)"
186,Selain itu anak juga akan lebih cepat memahami konsep cinta diri sendiri melalui penggambaran watak tokoh dalam suatu cerita alih alih hanya dijelaskan secara teoretis oleh orang lain,tokoh,pemegang peran (peran utama) dalam roman atau drama
187,Dari situlah anak akan belajar memahami konsep cinta diri sendiri dan mengaitkannya dengan pengalaman nyata pribadinya mengolah imajinasi memberikan kesenangan dan melatih kemampuan anak dalam berhubungan di lingkungan sosial tanpa harus terbawa oleh standar yang dibuat oleh masyarakat,konsep,ide atau pengertian yang diabstrakkan dari peristiwa konkret
188,Beberapa penelitian terdahulu yang juga meneliti buku cerita anak antara lain penelitian yang dilakukan oleh Annisa Srimaryanti dkk,buku,"lembar kertas yang berjilid, berisi tulisan atau kosong; kitab"
189,Dalam penelitiannya yang berjudul Analisis Self love dalam Kumpulan Cerita Anak Majalah Bobo disimpulkan bahwa cerita anak dalam majalah Bobo mengandung aspek aspek cinta diri sendiri yang tersirat yang dapat mengembangkan sikap cinta diri sendiri pada anak melalui cara yang menyenangkan yakni berupa cerita,aspek,"pemunculan atau penginterpretasian gagasan, masalah, situasi, dan sebagainya sebagai pertimbangan yang dilihat dari sudut pandang tertentu"
190,Berikutnya penelitian Susana Kamilah yang berjudul Analisis Konten Buku Cerita Aku Sayang Tubuhku sebagai Media Pendidikan Seksual untuk Anak Usia Dini Dalam penenelitian tersebut dikemukakan bahwa buku cerita merupakan media yang sangat tepat untuk digunakan sebagai sarana pengenalan pendidikan seksual anak sejak usia dini,sarana,segala sesuatu yang dapat dipakai sebagai alat dalam mencapai maksud atau tujuan; alat; media
191,Kemudian penelitian Vivi Sufiati dan Nur Hasanah berjudul Pengembangan Sosial Emosi Melalui Cerita untuk Anak Usia Dini yang mendapatkan hasil akhir bahwa cerita mampu menstimulasi kemampuan aspek sosial dan emosional anak melalui kesesuaian bahasa anak dengan bahasa yang digunakan dalam cerita yang mencukupi asupan kebutuhan anak dalam berekspresi,hasil,"sesuatu yang diadakan (dibuat, dijadikan, dan sebagainya) oleh usaha (tanam-tanaman, sawah, tanah, ladang, hutan, dan sebagainya)"
192,Buku Rafa si Raflesia merupakan buku cerita anak yang diterbitkan oleh Penerbit Bestari bekerja sama dengan Room to Read Accelerator dan cetakan pertama terbit pada tahun 2019,terbit,"keluar untuk diedarkan (tentang surat kabar, buku, dan sebagainya)"
193,Penulis buku ini adalah Debby Lukito Goeyardi dan diilustrasikan oleh Vannia Rizky Santoso,buku,"lembar kertas yang berjilid, berisi tulisan atau kosong; kitab"
194,Ilustrasi yang digunakan dalam buku ini memiliki gaya berupa ilustrasi gunting kertas berpola yang sangat menarik untuk anak anak,gaya,"ragam (cara rupa, bentuk, dan sebagainya) yang khusus (mengenai tulisan, karangan, pemakaian bahasa, bangunan rumah, dan sebagainya)"
